"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"06/09/2013","20","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","8","20"
"06/12/2013","8","PM2.5","Trinity","06-105-9000","AQS",".","8"
"06/15/2013","7","PM2.5","Trinity","06-105-9000","AQS","4","7"
"06/18/2013","5","PM2.5","Trinity","06-105-9000","AQS",".","5"
"06/21/2013","5","PM2.5","Trinity","06-105-9000","AQS","5","5"
"06/24/2013","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"06/27/2013","7","PM2.5","Trinity","06-105-9000","AQS","6","7"
"06/30/2013","9","PM2.5","Trinity","06-105-9000","AQS",".","9"
"07/03/2013","25","PM2.5","Trinity","06-105-9000","AQS","14","25"
"07/06/2013","23","PM2.5","Trinity","06-105-9000","AQS",".","23"
"07/09/2013","13","PM2.5","Trinity","06-105-9000","AQS",".","13"
"07/12/2013","13","PM2.5","Trinity","06-105-9000","AQS",".","13"
"07/15/2013","15","PM2.5","Trinity","06-105-9000","AQS","12","15"
"07/18/2013","9","PM2.5","Trinity","06-105-9000","AQS",".","9"
"07/21/2013","25","PM2.5","Trinity","06-105-9000","AQS","10","25"
"07/24/2013","20","PM2.5","Trinity","06-105-9000","AQS",".","20"
"07/27/2013","34","PM2.5","Trinity","06-105-9000","AQS","15","34"
"07/30/2013","74","PM2.5","Trinity","06-105-9000","AQS",".","74"
"08/02/2013","53","PM2.5","Trinity","06-105-9000","AQS","21","53"
"08/05/2013","15","PM2.5","Trinity","06-105-9000","AQS",".","15"
"08/08/2013","13","PM10","Weaverville-Courthouse","06-105-0002","AQS","13","."
"08/11/2013","30","PM2.5","Trinity","06-105-9000","AQS",".","30"
"08/14/2013","61","PM2.5","Trinity","06-105-9000","AQS","8","61"
"08/17/2013","16","PM2.5","Trinity","06-105-9000","AQS",".","16"
"08/20/2013","54","PM2.5","Trinity","06-105-9000","AQS","24","54"
"08/23/2013","28","PM2.5","Trinity","06-105-9000","AQS",".","28"
"08/26/2013","5","PM2.5","Trinity","06-105-9000","AQS",".","5"
"08/28/2013","7","PM10","Weaverville-Courthouse","06-105-0002","AQS","7","."
"08/29/2013","7","PM2.5","Trinity","06-105-9000","AQS",".","7"
"09/01/2013","7","PM2.5","Trinity","06-105-9000","AQS","5","7"
"09/04/2013","10","PM2.5","Trinity","06-105-9000","AQS",".","10"
"09/07/2013","8","PM2.5","Trinity","06-105-9000","AQS","6","8"
"09/10/2013","9","PM2.5","Trinity","06-105-9000","AQS",".","9"
"09/13/2013","29","PM2.5","Trinity","06-105-9000","AQS","14","29"
"09/16/2013","5","PM2.5","Trinity","06-105-9000","AQS",".","5"
"09/19/2013","10","PM10","Weaverville-Courthouse","06-105-0002","AQS","10","8"
"09/22/2013","4","PM2.5","Trinity","06-105-9000","AQS",".","4"
"09/25/2013","6","PM10","Weaverville-Courthouse","06-105-0002","AQS","6","2"
"09/28/2013","10","PM2.5","Trinity","06-105-9000","AQS",".","10"
"10/01/2013","11","PM2.5","Trinity","06-105-9000","AQS","7","11"
"10/04/2013","5","PM2.5","Trinity","06-105-9000","AQS",".","5"
"10/07/2013","12","PM2.5","Trinity","06-105-9000","AQS","8","12"
"10/10/2013","14","PM2.5","Trinity","06-105-9000","AQS",".","14"
"10/13/2013","8","PM2.5","Trinity","06-105-9000","AQS",".","8"
"10/16/2013","14","PM2.5","Trinity","06-105-9000","AQS",".","14"
"10/19/2013","10","PM2.5","Trinity","06-105-9000","AQS",".","10"
"10/22/2013","12","PM2.5","Trinity","06-105-9000","AQS","6","12"
"10/25/2013","22","PM10","Weaverville-Courthouse","06-105-0002","AQS","22","15"
"10/28/2013","9","PM2.5","Trinity","06-105-9000","AQS",".","9"
"10/31/2013","29","PM10","Weaverville-Courthouse","06-105-0002","AQS","29","15"
"11/03/2013","6","PM2.5","Trinity","06-105-9000","AQS",".","6"
"11/06/2013","24","PM10","Weaverville-Courthouse","06-105-0002","AQS","24","4"
"11/09/2013","8","PM2.5","Trinity","06-105-9000","AQS",".","8"
"11/12/2013","16","PM2.5","Trinity","06-105-9000","AQS",".","16"
"11/13/2013","30","PM10","Weaverville-Courthouse","06-105-0002","AQS","30","."
"11/15/2013","7","PM2.5","Trinity","06-105-9000","AQS",".","7"
"11/18/2013","37","PM10","Weaverville-Courthouse","06-105-0002","AQS","37","20"
"11/21/2013","19","PM2.5","Trinity","06-105-9000","AQS",".","19"
"11/24/2013","24","PM10","Weaverville-Courthouse","06-105-0002","AQS","24","8"
"11/27/2013","8","PM2.5","Trinity","06-105-9000","AQS",".","8"
"11/30/2013","31","PM10","Weaverville-Courthouse","06-105-0002","AQS","31","27"
"12/03/2013","8","PM2.5","Trinity","06-105-9000","AQS",".","8"
"12/06/2013","37","PM10","Weaverville-Courthouse","06-105-0002","AQS","37","26"
"12/09/2013","28","PM2.5","Trinity","06-105-9000","AQS",".","28"
"12/12/2013","27","PM10","Weaverville-Courthouse","06-105-0002","AQS","27","13"
"12/15/2013","10","PM2.5","Trinity","06-105-9000","AQS",".","10"
"12/18/2013","34","PM10","Weaverville-Courthouse","06-105-0002","AQS","34","."
"12/24/2013","27","PM10","Weaverville-Courthouse","06-105-0002","AQS","27","."
"12/30/2013","42","PM10","Weaverville-Courthouse","06-105-0002","AQS","42","."
