"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"10/16/2015","92","PM2.5","Hanford-Irwin","06-031-1004","AQS","47","34","92","42"
"10/17/2015","96","PM2.5","Hanford-Irwin","06-031-1004","AQS","46","41","96","31"
"10/18/2015","44","Ozone","Hanford-Irwin","06-031-1004","AQS","44","10","18","22"
"10/19/2015","41","Ozone","Hanford-Irwin","06-031-1004","AQS","41","19","22","26"
"10/20/2015","60","PM2.5","Hanford-Irwin","06-031-1004","AQS","42","40","60","29"
"10/21/2015","70","PM2.5","Hanford-Irwin","06-031-1004","AQS","48","54","70","41"
"10/22/2015","73","PM2.5","Hanford-Irwin","06-031-1004","AQS","64","56","73","26"
"10/23/2015","68","PM2.5","Hanford-Irwin","06-031-1004","AQS","58","61","68","48"
"10/24/2015","72","PM2.5","Hanford-Irwin","06-031-1004","AQS","61","59","72","25"
"10/25/2015","74","PM2.5","Hanford-Irwin","06-031-1004","AQS","44","65","74","25"
"10/26/2015","67","PM2.5","Hanford-Irwin","06-031-1004","AQS","46","59","67","40"
"10/27/2015","94","PM2.5","Hanford-Irwin","06-031-1004","AQS","44","73","94","30"
"10/28/2015","43","Ozone","Hanford-Irwin","06-031-1004","AQS","43","34","37","15"
"10/29/2015","58","PM2.5","Hanford-Irwin","06-031-1004","AQS","33","32","58","27"
"10/30/2015","72","PM2.5","Hanford-Irwin","06-031-1004","AQS","43","58","72","36"
"10/31/2015","77","PM2.5","Hanford-Irwin","06-031-1004","AQS","47","77","77","45"
"11/01/2015","62","PM2.5","Hanford-Irwin","06-031-1004","AQS","49","55","62","26"
"11/02/2015","32","Ozone","Hanford-Irwin","06-031-1004","AQS","32","15","13","13"
"11/03/2015","33","Ozone","Hanford-Irwin","06-031-1004","AQS","33","9","27","17"
"11/04/2015","45","PM2.5","Hanford-Irwin","06-031-1004","AQS","30","19","45","25"
"11/05/2015","74","PM2.5","Hanford-Irwin","06-031-1004","AQS","29","28","74","35"
"11/06/2015","71","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","27","71","37"
