"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"04/21/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"04/22/2016","39","Ozone","Jackson-Clinton Road","06-005-0002","AQS","39","."
"04/23/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"04/24/2016","41","Ozone","Jackson-Clinton Road","06-005-0002","AQS","41","."
"04/25/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"04/26/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"04/27/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"04/28/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"04/29/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"04/30/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"05/01/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"05/02/2016","47","Ozone","Jackson-Clinton Road","06-005-0002","AQS","47","."
"05/03/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"05/04/2016","46","Ozone","Jackson-Clinton Road","06-005-0002","AQS","46","."
"05/05/2016","34","Ozone","Jackson-Clinton Road","06-005-0002","AQS","34","."
"05/06/2016","26","Ozone","Jackson-Clinton Road","06-005-0002","AQS","26","."
"05/07/2016","29","Ozone","Jackson-Clinton Road","06-005-0002","AQS","29","."
"05/08/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"05/09/2016","41","Ozone","Jackson-Clinton Road","06-005-0002","AQS","41","."
"05/10/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"05/11/2016","48","Ozone","Jackson-Clinton Road","06-005-0002","AQS","48","."
"05/12/2016","61","Ozone","Jackson-Clinton Road","06-005-0002","AQS","61","."
"05/13/2016","50","Ozone","Jackson-Clinton Road","06-005-0002","AQS","50","."
"05/14/2016","33","Ozone","Jackson-Clinton Road","06-005-0002","AQS","33","."
"05/15/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"05/16/2016","39","Ozone","Jackson-Clinton Road","06-005-0002","AQS","39","."
"05/17/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"05/18/2016","51","Ozone","Jackson-Clinton Road","06-005-0002","AQS","51","."
"05/19/2016","49","Ozone","Jackson-Clinton Road","06-005-0002","AQS","49","."
"05/20/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"05/21/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"05/22/2016","35","Ozone","Jackson-Clinton Road","06-005-0002","AQS","35","."
"05/23/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"05/24/2016","30","Ozone","Jackson-Clinton Road","06-005-0002","AQS","30","."
"05/25/2016","38","Ozone","Jackson-Clinton Road","06-005-0002","AQS","38","."
"05/26/2016","42","Ozone","Jackson-Clinton Road","06-005-0002","AQS","42","."
"05/27/2016","48","Ozone","Jackson-Clinton Road","06-005-0002","AQS","48","."
"05/28/2016","49","Ozone","Jackson-Clinton Road","06-005-0002","AQS","49","."
"05/29/2016","67","Ozone","Jackson-Clinton Road","06-005-0002","AQS","67","."
"05/30/2016","50","Ozone","Jackson-Clinton Road","06-005-0002","AQS","50","."
"05/31/2016","80","Ozone","Jackson-Clinton Road","06-005-0002","AQS","80","."
"06/01/2016","61","Ozone","Jackson-Clinton Road","06-005-0002","AQS","61","."
"06/02/2016","71","Ozone","Jackson-Clinton Road","06-005-0002","AQS","71","."
"06/03/2016","90","Ozone","Jackson-Clinton Road","06-005-0002","AQS","90","."
"06/04/2016","67","Ozone","Jackson-Clinton Road","06-005-0002","AQS","67","."
"06/05/2016","97","Ozone","Jackson-Clinton Road","06-005-0002","AQS","97","."
"06/06/2016","71","Ozone","Jackson-Clinton Road","06-005-0002","AQS","71","."
"06/07/2016","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"06/08/2016","43","Ozone","Jackson-Clinton Road","06-005-0002","AQS","43","."
"06/09/2016","47","Ozone","Jackson-Clinton Road","06-005-0002","AQS","47","."
"06/10/2016","47","Ozone","Jackson-Clinton Road","06-005-0002","AQS","47","."
"06/11/2016","46","Ozone","Jackson-Clinton Road","06-005-0002","AQS","46","."
"06/12/2016","47","Ozone","Jackson-Clinton Road","06-005-0002","AQS","47","."
"06/13/2016","49","Ozone","Jackson-Clinton Road","06-005-0002","AQS","49","."
"06/14/2016","46","Ozone","Jackson-Clinton Road","06-005-0002","AQS","46","."
"06/15/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"06/16/2016","33","Ozone","Jackson-Clinton Road","06-005-0002","AQS","33","."
"06/17/2016","38","Ozone","Jackson-Clinton Road","06-005-0002","AQS","38","."
"06/18/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"06/19/2016","40","Ozone","Jackson-Clinton Road","06-005-0002","AQS","40","."
"06/20/2016","74","Ozone","Jackson-Clinton Road","06-005-0002","AQS","74","."
"06/21/2016","90","Ozone","Jackson-Clinton Road","06-005-0002","AQS","90","."
"06/22/2016","67","Ozone","Jackson-Clinton Road","06-005-0002","AQS","67","."
"06/23/2016","47","Ozone","Jackson-Clinton Road","06-005-0002","AQS","47","."
"06/24/2016","58","Ozone","Jackson-Clinton Road","06-005-0002","AQS","58","."
"06/25/2016","51","Ozone","Jackson-Clinton Road","06-005-0002","AQS","51","."
"06/26/2016","61","Ozone","Jackson-Clinton Road","06-005-0002","AQS","61","."
"06/27/2016","64","Ozone","Jackson-Clinton Road","06-005-0002","AQS","64","."
"06/28/2016","64","Ozone","Jackson-Clinton Road","06-005-0002","AQS","64","."
"06/29/2016","80","Ozone","Jackson-Clinton Road","06-005-0002","AQS","80","."
"06/30/2016","100","Ozone","Jackson-Clinton Road","06-005-0002","AQS","100","."
"07/01/2016","112","Ozone","Jackson-Clinton Road","06-005-0002","AQS","112","."
"07/02/2016","51","Ozone","Jackson-Clinton Road","06-005-0002","AQS","51","."
"07/03/2016","51","Ozone","Jackson-Clinton Road","06-005-0002","AQS","51","."
"07/04/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"07/05/2016","48","Ozone","Jackson-Clinton Road","06-005-0002","AQS","48","."
"07/06/2016","47","Ozone","Jackson-Clinton Road","06-005-0002","AQS","47","."
"07/07/2016","48","Ozone","Jackson-Clinton Road","06-005-0002","AQS","48","."
"07/08/2016","42","Ozone","Jackson-Clinton Road","06-005-0002","AQS","42","."
"07/09/2016","26","Ozone","Jackson-Clinton Road","06-005-0002","AQS","26","."
"07/10/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"07/11/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"07/12/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"07/13/2016","71","Ozone","Jackson-Clinton Road","06-005-0002","AQS","71","."
"07/14/2016","100","Ozone","Jackson-Clinton Road","06-005-0002","AQS","100","."
"07/15/2016","90","Ozone","Jackson-Clinton Road","06-005-0002","AQS","90","."
"07/16/2016","58","Ozone","Jackson-Clinton Road","06-005-0002","AQS","58","."
"07/17/2016","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"07/18/2016","39","Ozone","Jackson-Clinton Road","06-005-0002","AQS","39","."
"07/19/2016","43","Ozone","Jackson-Clinton Road","06-005-0002","AQS","43","."
