"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25","NO2"
"01/30/2009","27","NO2","Madera-Pump Yard","06-039-0004","AQS","23",".","27"
"01/31/2009","33","NO2","Madera-Pump Yard","06-039-0004","AQS","29",".","33"
"02/01/2009","38","Ozone","Madera-Pump Yard","06-039-0004","AQS","38",".","25"
"02/02/2009","38","Ozone","Madera-Pump Yard","06-039-0004","AQS","38",".","33"
"02/03/2009","30","NO2","Madera-Pump Yard","06-039-0004","AQS","28",".","30"
"02/04/2009","24","Ozone","Madera-Pump Yard","06-039-0004","AQS","24",".","24"
"02/05/2009","30","NO2","Madera-Pump Yard","06-039-0004","AQS","27",".","30"
"02/06/2009","30","Ozone","Madera-Pump Yard","06-039-0004","AQS","30",".","29"
"02/07/2009","21","Ozone","Madera-Pump Yard","06-039-0004","AQS","21",".","14"
"02/08/2009","30","Ozone","Madera-Pump Yard","06-039-0004","AQS","30",".","14"
"02/09/2009","34","Ozone","Madera-Pump Yard","06-039-0004","AQS","34",".","10"
"02/10/2009","30","Ozone","Madera-Pump Yard","06-039-0004","AQS","30",".","29"
"02/11/2009","31","Ozone","Madera-Pump Yard","06-039-0004","AQS","31",".","23"
"02/12/2009","35","Ozone","Madera-Pump Yard","06-039-0004","AQS","35",".","31"
"02/13/2009","29","Ozone","Madera-Pump Yard","06-039-0004","AQS","29",".","26"
"02/14/2009","34","Ozone","Madera-Pump Yard","06-039-0004","AQS","34",".","15"
"02/15/2009","33","Ozone","Madera-Pump Yard","06-039-0004","AQS","33",".","9"
"02/16/2009","33","Ozone","Madera-Pump Yard","06-039-0004","AQS","33",".","21"
"02/17/2009","31","Ozone","Madera-Pump Yard","06-039-0004","AQS","31",".","13"
"02/18/2009","33","Ozone","Madera-Pump Yard","06-039-0004","AQS","33",".","32"
"02/19/2009","32","Ozone","Madera-Pump Yard","06-039-0004","AQS","32",".","28"
"02/20/2009","29","Ozone","Madera-Pump Yard","06-039-0004","AQS","29",".","19"
"02/21/2009","19","Ozone","Madera-Pump Yard","06-039-0004","AQS","19",".","19"
"02/22/2009","24","Ozone","Madera-Pump Yard","06-039-0004","AQS","24",".","10"
"02/23/2009","25","Ozone","Madera-Pump Yard","06-039-0004","AQS","25",".","21"
"02/24/2009","35","Ozone","Madera-Pump Yard","06-039-0004","AQS","35",".","19"
"02/25/2009","42","Ozone","Madera-Pump Yard","06-039-0004","AQS","42",".","24"
"02/26/2009","34","Ozone","Madera-Pump Yard","06-039-0004","AQS","34",".","23"
"02/27/2009","32","Ozone","Madera-Pump Yard","06-039-0004","AQS","32",".","22"
"02/28/2009","30","NO2","Madera-Pump Yard","06-039-0004","AQS","25",".","30"
"03/01/2009","20","Ozone","Madera-Pump Yard","06-039-0004","AQS","20",".","20"
"03/02/2009","33","Ozone","Madera-Pump Yard","06-039-0004","AQS","33",".","12"
"03/03/2009","40","Ozone","Madera-Pump Yard","06-039-0004","AQS","40",".","7"
"03/04/2009","42","Ozone","Madera-Pump Yard","06-039-0004","AQS","42",".","12"
"03/05/2009","38","Ozone","Madera-Pump Yard","06-039-0004","AQS","38",".","16"
"03/06/2009","38","Ozone","Madera-Pump Yard","06-039-0004","AQS","38",".","11"
"03/07/2009","37","Ozone","Madera-Pump Yard","06-039-0004","AQS","37",".","24"
"03/08/2009","49","Ozone","Madera-Pump Yard","06-039-0004","AQS","49",".","21"
"03/09/2009","42","Ozone","Madera-Pump Yard","06-039-0004","AQS","42",".","7"
"03/10/2009","41","Ozone","Madera-Pump Yard","06-039-0004","AQS","41",".","18"
"03/11/2009","40","Ozone","Madera-Pump Yard","06-039-0004","AQS","40",".","22"
"03/12/2009","43","Ozone","Madera-Pump Yard","06-039-0004","AQS","43",".","31"
"03/13/2009","43","Ozone","Madera-Pump Yard","06-039-0004","AQS","43",".","21"
"03/14/2009","41","Ozone","Madera-Pump Yard","06-039-0004","AQS","41",".","25"
"03/15/2009","37","Ozone","Madera-Pump Yard","06-039-0004","AQS","37",".","8"
"03/16/2009","34","Ozone","Madera-Pump Yard","06-039-0004","AQS","34",".","17"
"03/17/2009","31","Ozone","Madera-Pump Yard","06-039-0004","AQS","31",".","8"
"03/18/2009","35","Ozone","Madera-Pump Yard","06-039-0004","AQS","35",".","8"
"03/19/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","29"
"03/20/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","17"
"03/21/2009","30","Ozone","Madera-Pump Yard","06-039-0004","AQS","30",".","8"
"03/22/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","5"
"03/23/2009","42","Ozone","Madera-Pump Yard","06-039-0004","AQS","42",".","14"
"03/24/2009","38","Ozone","Madera-Pump Yard","06-039-0004","AQS","38",".","26"
"03/25/2009","41","Ozone","Madera-Pump Yard","06-039-0004","AQS","41",".","23"
"03/26/2009","38","Ozone","Madera-Pump Yard","06-039-0004","AQS","38",".","8"
"03/27/2009","49","Ozone","Madera-Pump Yard","06-039-0004","AQS","49",".","18"
"03/28/2009","77","Ozone","Madera-Pump Yard","06-039-0004","AQS","77",".","18"
"03/29/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","6"
"03/30/2009","40","Ozone","Madera-Pump Yard","06-039-0004","AQS","40",".","11"
"03/31/2009","50","Ozone","Madera-Pump Yard","06-039-0004","AQS","50",".","18"
"04/01/2009","42","Ozone","Madera-Pump Yard","06-039-0004","AQS","42",".","21"
"04/02/2009","36","Ozone","Madera-Pump Yard","06-039-0004","AQS","36",".","23"
"04/03/2009","46","Ozone","Madera-Pump Yard","06-039-0004","AQS","46",".","6"
"04/04/2009","58","Ozone","Madera-Pump Yard","06-039-0004","AQS","58",".","21"
"04/05/2009","61","Ozone","Madera-Pump Yard","06-039-0004","AQS","61",".","18"
"04/06/2009","51","Ozone","Madera-Pump Yard","06-039-0004","AQS","51",".","22"
"04/07/2009","41","Ozone","Madera-Pump Yard","06-039-0004","AQS","41",".","27"
"04/08/2009","43","Ozone","Madera-Pump Yard","06-039-0004","AQS","43",".","8"
"04/09/2009","43","Ozone","Madera-Pump Yard","06-039-0004","AQS","43",".","19"
"04/10/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","5"
"04/11/2009","42","Ozone","Madera-Pump Yard","06-039-0004","AQS","42",".","6"
"04/12/2009","40","Ozone","Madera-Pump Yard","06-039-0004","AQS","40",".","12"
"04/13/2009","30","Ozone","Madera-Pump Yard","06-039-0004","AQS","30",".","8"
"04/14/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","7"
"04/15/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","14"
"04/16/2009","46","Ozone","Madera-Pump Yard","06-039-0004","AQS","46",".","16"
"04/17/2009","51","Ozone","Madera-Pump Yard","06-039-0004","AQS","51",".","18"
"04/18/2009","71","Ozone","Madera-Pump Yard","06-039-0004","AQS","71",".","22"
"04/19/2009","90","Ozone","Madera-Pump Yard","06-039-0004","AQS","90",".","18"
"04/20/2009","77","Ozone","Madera-Pump Yard","06-039-0004","AQS","77",".","19"
"04/21/2009","112","Ozone","Madera-Pump Yard","06-039-0004","AQS","112",".","24"
"04/22/2009","115","Ozone","Madera-Pump Yard","06-039-0004","AQS","115",".","23"
"04/23/2009","45","Ozone","Madera-Pump Yard","06-039-0004","AQS","45",".","13"
"04/24/2009","45","Ozone","Madera-Pump Yard","06-039-0004","AQS","45",".","5"
"04/25/2009","49","Ozone","Madera-Pump Yard","06-039-0004","AQS","49",".","6"
"04/26/2009","51","Ozone","Madera-Pump Yard","06-039-0004","AQS","51",".","7"
"04/27/2009","48","Ozone","Madera-Pump Yard","06-039-0004","AQS","48",".","8"
"04/28/2009","47","Ozone","Madera-Pump Yard","06-039-0004","AQS","47",".","10"
"04/29/2009","54","Ozone","Madera-Pump Yard","06-039-0004","AQS","54",".","7"
"04/30/2009","64","Ozone","Madera-Pump Yard","06-039-0004","AQS","64",".","8"
"05/01/2009","50","Ozone","Madera-Pump Yard","06-039-0004","AQS","50",".","11"
"05/02/2009","38","Ozone","Madera-Pump Yard","06-039-0004","AQS","38",".","9"
"05/03/2009","33","Ozone","Madera-Pump Yard","06-039-0004","AQS","33",".","8"
"05/04/2009","42","Ozone","Madera-Pump Yard","06-039-0004","AQS","42",".","14"
"05/05/2009","25","Ozone","Madera-Pump Yard","06-039-0004","AQS","25",".","7"
"05/06/2009","35","Ozone","Madera-Pump Yard","06-039-0004","AQS","35",".","5"
"05/07/2009","48","Ozone","Madera-Pump Yard","06-039-0004","AQS","48",".","8"
"05/08/2009","48","Ozone","Madera-Pump Yard","06-039-0004","AQS","48",".","9"
"05/09/2009","51","Ozone","Madera-Pump Yard","06-039-0004","AQS","51",".","16"
"05/10/2009","54","Ozone","Madera-Pump Yard","06-039-0004","AQS","54",".","9"
"05/11/2009","8","NO2","Madera-Pump Yard","06-039-0004","AQS",".",".","8"
"05/12/2009","61","Ozone","Madera-Pump Yard","06-039-0004","AQS","61",".","8"
"05/13/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","8"
"05/14/2009","36","Ozone","Madera-Pump Yard","06-039-0004","AQS","36",".","8"
"05/15/2009","43","Ozone","Madera-Pump Yard","06-039-0004","AQS","43",".","10"
"05/16/2009","90","Ozone","Madera-Pump Yard","06-039-0004","AQS","90",".","20"
"05/17/2009","129","Ozone","Madera-Pump Yard","06-039-0004","AQS","129",".","19"
"05/18/2009","154","Ozone","Madera-Pump Yard","06-039-0004","AQS","154",".","12"
"05/19/2009","54","Ozone","Madera-Pump Yard","06-039-0004","AQS","54",".","8"
"05/20/2009","51","Ozone","Madera-Pump Yard","06-039-0004","AQS","51",".","8"
"05/21/2009","90","Ozone","Madera-Pump Yard","06-039-0004","AQS","90",".","12"
"05/22/2009","100","Ozone","Madera-Pump Yard","06-039-0004","AQS","100",".","14"
"05/23/2009","71","Ozone","Madera-Pump Yard","06-039-0004","AQS","71",".","8"
"05/24/2009","67","Ozone","Madera-Pump Yard","06-039-0004","AQS","67",".","6"
"05/25/2009","71","Ozone","Madera-Pump Yard","06-039-0004","AQS","71",".","8"
"05/26/2009","100","Ozone","Madera-Pump Yard","06-039-0004","AQS","100",".","21"
"05/27/2009","112","Ozone","Madera-Pump Yard","06-039-0004","AQS","112",".","23"
"05/28/2009","112","Ozone","Madera-Pump Yard","06-039-0004","AQS","112",".","11"
"05/29/2009","71","Ozone","Madera-Pump Yard","06-039-0004","AQS","71",".","11"
"05/30/2009","61","Ozone","Madera-Pump Yard","06-039-0004","AQS","61",".","7"
"05/31/2009","71","Ozone","Madera-Pump Yard","06-039-0004","AQS","71",".","7"
"06/01/2009","37","Ozone","Madera-Pump Yard","06-039-0004","AQS","37",".","7"
"06/02/2009","30","Ozone","Madera-Pump Yard","06-039-0004","AQS","30",".","7"
"06/03/2009","31","Ozone","Madera-Pump Yard","06-039-0004","AQS","31",".","14"
"06/04/2009","38","Ozone","Madera-Pump Yard","06-039-0004","AQS","38",".","11"
"06/05/2009","31","Ozone","Madera-Pump Yard","06-039-0004","AQS","31",".","8"
"06/06/2009","40","Ozone","Madera-Pump Yard","06-039-0004","AQS","40",".","8"
"06/07/2009","40","Ozone","Madera-Pump Yard","06-039-0004","AQS","40",".","8"
"06/08/2009","47","Ozone","Madera-Pump Yard","06-039-0004","AQS","47",".","8"
"06/09/2009","43","Ozone","Madera-Pump Yard","06-039-0004","AQS","43",".","6"
"06/10/2009","40","Ozone","Madera-Pump Yard","06-039-0004","AQS","40",".","5"
"06/11/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","7"
"06/12/2009","39","Ozone","Madera-Pump Yard","06-039-0004","AQS","39",".","6"
"06/13/2009","31","Ozone","Madera-Pump Yard","06-039-0004","AQS","31",".","5"
"06/14/2009","42","Ozone","Madera-Pump Yard","06-039-0004","AQS","42",".","5"
"06/15/2009","41","Ozone","Madera-Pump Yard","06-039-0004","AQS","41",".","7"
"06/16/2009","49","Ozone","Madera-Pump Yard","06-039-0004","AQS","49",".","11"
"06/17/2009","51","Ozone","Madera-Pump Yard","06-039-0004","AQS","51",".","9"
"06/18/2009","87","Ozone","Madera-Pump Yard","06-039-0004","AQS","87",".","9"
"06/19/2009","90","Ozone","Madera-Pump Yard","06-039-0004","AQS","90",".","19"
"06/20/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","5"
"06/21/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","5"
"06/22/2009","48","Ozone","Madera-Pump Yard","06-039-0004","AQS","48",".","11"
"06/23/2009","90","Ozone","Madera-Pump Yard","06-039-0004","AQS","90",".","25"
"06/24/2009","122","Ozone","Madera-Pump Yard","06-039-0004","AQS","122",".","20"
"06/25/2009","90","Ozone","Madera-Pump Yard","06-039-0004","AQS","90",".","21"
"06/26/2009","71","Ozone","Madera-Pump Yard","06-039-0004","AQS","71",".","18"
"06/27/2009","108","Ozone","Madera-Pump Yard","06-039-0004","AQS","108",".","12"
"06/28/2009","126","Ozone","Madera-Pump Yard","06-039-0004","AQS","126",".","18"
"06/29/2009","177","Ozone","Madera-Pump Yard","06-039-0004","AQS","177",".","22"
"06/30/2009","108","Ozone","Madera-Pump Yard","06-039-0004","AQS","108",".","14"
"07/01/2009","108","Ozone","Madera-Pump Yard","06-039-0004","AQS","108",".","13"
"07/02/2009","93","Ozone","Madera-Pump Yard","06-039-0004","AQS","93",".","11"
"07/03/2009","93","Ozone","Madera-Pump Yard","06-039-0004","AQS","93",".","10"
"07/04/2009","54","Ozone","Madera-Pump Yard","06-039-0004","AQS","54",".","15"
"07/05/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","8"
"07/06/2009","41","Ozone","Madera-Pump Yard","06-039-0004","AQS","41",".","8"
"07/07/2009","49","Ozone","Madera-Pump Yard","06-039-0004","AQS","49",".","9"
"07/08/2009","43","Ozone","Madera-Pump Yard","06-039-0004","AQS","43",".","8"
"07/09/2009","58","Ozone","Madera-Pump Yard","06-039-0004","AQS","58",".","9"
"07/10/2009","58","Ozone","Madera-Pump Yard","06-039-0004","AQS","58",".","9"
"07/11/2009","84","Ozone","Madera-Pump Yard","06-039-0004","AQS","84",".","10"
"07/12/2009","48","Ozone","Madera-Pump Yard","06-039-0004","AQS","48",".","8"
"07/13/2009","80","Ozone","Madera-Pump Yard","06-039-0004","AQS","80",".","10"
"07/14/2009","84","Ozone","Madera-Pump Yard","06-039-0004","AQS","84",".","23"
"07/15/2009","115","Ozone","Madera-Pump Yard","06-039-0004","AQS","115",".","24"
"07/16/2009","129","Ozone","Madera-Pump Yard","06-039-0004","AQS","129",".","24"
"07/17/2009","105","Ozone","Madera-Pump Yard","06-039-0004","AQS","105",".","19"
"07/18/2009","93","Ozone","Madera-Pump Yard","06-039-0004","AQS","93",".","14"
"07/19/2009","71","Ozone","Madera-Pump Yard","06-039-0004","AQS","71",".","22"
"07/20/2009","100","Ozone","Madera-Pump Yard","06-039-0004","AQS","100",".","16"
"07/21/2009","58","Ozone","Madera-Pump Yard","06-039-0004","AQS","58",".","14"
"07/22/2009","45","Ozone","Madera-Pump Yard","06-039-0004","AQS","45",".","10"
"07/23/2009","54","Ozone","Madera-Pump Yard","06-039-0004","AQS","54",".","11"
"07/24/2009","51","Ozone","Madera-Pump Yard","06-039-0004","AQS","51",".","12"
"07/25/2009","49","Ozone","Madera-Pump Yard","06-039-0004","AQS","49",".","10"
"07/26/2009","71","Ozone","Madera-Pump Yard","06-039-0004","AQS","71",".","11"
"07/27/2009","84","Ozone","Madera-Pump Yard","06-039-0004","AQS","84",".","11"
"07/28/2009","93","Ozone","Madera-Pump Yard","06-039-0004","AQS","93",".","19"
"07/29/2009","51","Ozone","Madera-Pump Yard","06-039-0004","AQS","51",".","12"
"07/30/2009","51","Ozone","Madera-Pump Yard","06-039-0004","AQS","51",".","10"
"07/31/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","10"
"08/01/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","11"
"08/02/2009","35","Ozone","Madera-Pump Yard","06-039-0004","AQS","35",".","8"
"08/03/2009","42","Ozone","Madera-Pump Yard","06-039-0004","AQS","42",".","8"
"08/04/2009","43","Ozone","Madera-Pump Yard","06-039-0004","AQS","43",".","8"
"08/05/2009","46","Ozone","Madera-Pump Yard","06-039-0004","AQS","46",".","9"
"08/06/2009","28","Ozone","Madera-Pump Yard","06-039-0004","AQS","28",".","10"
"08/07/2009","33","Ozone","Madera-Pump Yard","06-039-0004","AQS","33",".","8"
"08/08/2009","49","Ozone","Madera-Pump Yard","06-039-0004","AQS","49",".","9"
"08/09/2009","58","Ozone","Madera-Pump Yard","06-039-0004","AQS","58",".","13"
"08/10/2009","87","Ozone","Madera-Pump Yard","06-039-0004","AQS","87",".","25"
"08/11/2009","105","Ozone","Madera-Pump Yard","06-039-0004","AQS","105",".","25"
"08/12/2009","54","Ozone","Madera-Pump Yard","06-039-0004","AQS","54",".","12"
"08/13/2009","39","Ozone","Madera-Pump Yard","06-039-0004","AQS","39",".","12"
"08/14/2009","67","Ozone","Madera-Pump Yard","06-039-0004","AQS","67",".","8"
"08/15/2009","71","Ozone","Madera-Pump Yard","06-039-0004","AQS","71",".","9"
"08/16/2009","71","Ozone","Madera-Pump Yard","06-039-0004","AQS","71",".","18"
"08/17/2009","71","Ozone","Madera-Pump Yard","06-039-0004","AQS","71",".","25"
"08/18/2009","80","Ozone","Madera-Pump Yard","06-039-0004","AQS","80",".","17"
"08/19/2009","115","Ozone","Madera-Pump Yard","06-039-0004","AQS","115",".","15"
"08/20/2009","74","Ozone","Madera-Pump Yard","06-039-0004","AQS","74",".","10"
"08/21/2009","77","Ozone","Madera-Pump Yard","06-039-0004","AQS","77",".","14"
"08/22/2009","80","Ozone","Madera-Pump Yard","06-039-0004","AQS","80",".","16"
"08/23/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","10"
"08/24/2009","11","NO2","Madera-Pump Yard","06-039-0004","AQS",".",".","11"
"08/25/2009","14","NO2","Madera-Pump Yard","06-039-0004","AQS",".",".","14"
"08/26/2009","21","NO2","Madera-Pump Yard","06-039-0004","AQS",".",".","21"
"08/27/2009","11","NO2","Madera-Pump Yard","06-039-0004","AQS",".",".","11"
"08/28/2009","122","Ozone","Madera-Pump Yard","06-039-0004","AQS","122",".","26"
"08/29/2009","151","Ozone","Madera-Pump Yard","06-039-0004","AQS","151",".","25"
"08/30/2009","90","Ozone","Madera-Pump Yard","06-039-0004","AQS","90",".","17"
"08/31/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","10"
"09/01/2009","49","Ozone","Madera-Pump Yard","06-039-0004","AQS","49",".","11"
"09/02/2009","64","Ozone","Madera-Pump Yard","06-039-0004","AQS","64",".","22"
"09/03/2009","50","Ozone","Madera-Pump Yard","06-039-0004","AQS","50",".","14"
"09/04/2009","51","Ozone","Madera-Pump Yard","06-039-0004","AQS","51",".","11"
"09/05/2009","39","Ozone","Madera-Pump Yard","06-039-0004","AQS","39",".","8"
"09/06/2009","40","Ozone","Madera-Pump Yard","06-039-0004","AQS","40",".","6"
"09/07/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","9"
"09/08/2009","48","Ozone","Madera-Pump Yard","06-039-0004","AQS","48",".","20"
"09/09/2009","77","Ozone","Madera-Pump Yard","06-039-0004","AQS","77",".","14"
"09/10/2009","105","Ozone","Madera-Pump Yard","06-039-0004","AQS","105",".","27"
"09/11/2009","119","Ozone","Madera-Pump Yard","06-039-0004","AQS","119",".","32"
"09/12/2009","112","Ozone","Madera-Pump Yard","06-039-0004","AQS","112",".","24"
"09/13/2009","38","Ozone","Madera-Pump Yard","06-039-0004","AQS","38",".","7"
"09/14/2009","40","Ozone","Madera-Pump Yard","06-039-0004","AQS","40",".","12"
"09/15/2009","45","Ozone","Madera-Pump Yard","06-039-0004","AQS","45",".","22"
"09/16/2009","54","Ozone","Madera-Pump Yard","06-039-0004","AQS","54",".","17"
"09/17/2009","21","NO2","Madera-Pump Yard","06-039-0004","AQS",".",".","21"
"09/18/2009","31","NO2","Madera-Pump Yard","06-039-0004","AQS",".",".","31"
"09/19/2009","25","NO2","Madera-Pump Yard","06-039-0004","AQS",".",".","25"
"09/20/2009","25","NO2","Madera-Pump Yard","06-039-0004","AQS",".",".","25"
"09/21/2009","25","NO2","Madera-Pump Yard","06-039-0004","AQS",".",".","25"
"09/22/2009","87","Ozone","Madera-Pump Yard","06-039-0004","AQS","87",".","25"
"09/23/2009","150","Ozone","Madera-Pump Yard","06-039-0004","AQS","150",".","35"
"09/24/2009","31","NO2","Madera-Pump Yard","06-039-0004","AQS",".",".","31"
"09/25/2009","122","Ozone","Madera-Pump Yard","06-039-0004","AQS","122",".","22"
"09/26/2009","140","Ozone","Madera-Pump Yard","06-039-0004","AQS","140",".","29"
"09/27/2009","129","Ozone","Madera-Pump Yard","06-039-0004","AQS","129",".","23"
"09/28/2009","84","Ozone","Madera-Pump Yard","06-039-0004","AQS","84",".","31"
"09/29/2009","31","Ozone","Madera-Pump Yard","06-039-0004","AQS","31",".","7"
"09/30/2009","33","Ozone","Madera-Pump Yard","06-039-0004","AQS","33",".","11"
"10/01/2009","37","Ozone","Madera-Pump Yard","06-039-0004","AQS","37",".","27"
"10/02/2009","50","Ozone","Madera-Pump Yard","06-039-0004","AQS","50",".","30"
"10/03/2009","45","Ozone","Madera-Pump Yard","06-039-0004","AQS","45",".","25"
"10/04/2009","34","Ozone","Madera-Pump Yard","06-039-0004","AQS","34",".","9"
"10/05/2009","37","Ozone","Madera-Pump Yard","06-039-0004","AQS","37",".","14"
"10/06/2009","38","Ozone","Madera-Pump Yard","06-039-0004","AQS","38",".","22"
"10/07/2009","42","Ozone","Madera-Pump Yard","06-039-0004","AQS","42",".","26"
"10/08/2009","44","Ozone","Madera-Pump Yard","06-039-0004","AQS","44",".","24"
"10/09/2009","49","Ozone","Madera-Pump Yard","06-039-0004","AQS","49",".","17"
"10/10/2009","67","Ozone","Madera-Pump Yard","06-039-0004","AQS","67",".","25"
"10/11/2009","64","Ozone","Madera-Pump Yard","06-039-0004","AQS","64",".","18"
"10/12/2009","39","Ozone","Madera-Pump Yard","06-039-0004","AQS","39",".","12"
"10/13/2009","11","NO2","Madera-Pump Yard","06-039-0004","AQS",".",".","11"
"10/14/2009","31","Ozone","Madera-Pump Yard","06-039-0004","AQS","31",".","19"
"10/15/2009","35","Ozone","Madera-Pump Yard","06-039-0004","AQS","35",".","14"
"10/16/2009","19","Ozone","Madera-Pump Yard","06-039-0004","AQS","19",".","11"
"10/17/2009","33","Ozone","Madera-Pump Yard","06-039-0004","AQS","33",".","13"
"10/18/2009","39","Ozone","Madera-Pump Yard","06-039-0004","AQS","39",".","14"
"10/19/2009","30","Ozone","Madera-Pump Yard","06-039-0004","AQS","30",".","10"
"10/20/2009","21","Ozone","Madera-Pump Yard","06-039-0004","AQS","21",".","21"
"10/21/2009","34","Ozone","Madera-Pump Yard","06-039-0004","AQS","34",".","24"
"10/22/2009","34","Ozone","Madera-Pump Yard","06-039-0004","AQS","34",".","18"
"10/23/2009","45","Ozone","Madera-Pump Yard","06-039-0004","AQS","45",".","20"
"10/24/2009","51","Ozone","Madera-Pump Yard","06-039-0004","AQS","51",".","15"
"10/25/2009","41","Ozone","Madera-Pump Yard","06-039-0004","AQS","41",".","11"
"10/26/2009","58","Ozone","Madera-Pump Yard","06-039-0004","AQS","58",".","15"
"10/27/2009","32","Ozone","Madera-Pump Yard","06-039-0004","AQS","32",".","8"
"10/28/2009","33","Ozone","Madera-Pump Yard","06-039-0004","AQS","33",".","10"
"10/29/2009","28","Ozone","Madera-Pump Yard","06-039-0004","AQS","28",".","25"
"10/30/2009","36","Ozone","Madera-Pump Yard","06-039-0004","AQS","36",".","28"
"10/31/2009","45","Ozone","Madera-Pump Yard","06-039-0004","AQS","45",".","30"
"11/01/2009","64","Ozone","Madera-Pump Yard","06-039-0004","AQS","64",".","22"
"11/02/2009","64","Ozone","Madera-Pump Yard","06-039-0004","AQS","64",".","41"
"11/03/2009","64","Ozone","Madera-Pump Yard","06-039-0004","AQS","64",".","43"
"11/04/2009","74","Ozone","Madera-Pump Yard","06-039-0004","AQS","74",".","22"
"11/05/2009","33","Ozone","Madera-Pump Yard","06-039-0004","AQS","33",".","26"
"11/06/2009","32","Ozone","Madera-Pump Yard","06-039-0004","AQS","32",".","21"
"11/07/2009","29","Ozone","Madera-Pump Yard","06-039-0004","AQS","29",".","10"
"11/08/2009","26","Ozone","Madera-Pump Yard","06-039-0004","AQS","26",".","17"
"11/09/2009","28","Ozone","Madera-Pump Yard","06-039-0004","AQS","28",".","20"
"11/10/2009","21","Ozone","Madera-Pump Yard","06-039-0004","AQS","21",".","21"
"11/11/2009","23","Ozone","Madera-Pump Yard","06-039-0004","AQS","23",".","17"
