"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25","NO2"
"05/03/2009","40","Ozone","White Cloud","06-057-0007","AQS","40",".","."
"05/04/2009","37","Ozone","White Cloud","06-057-0007","AQS","37","10","."
"05/05/2009","31","Ozone","White Cloud","06-057-0007","AQS","31",".","."
"05/06/2009","31","Ozone","White Cloud","06-057-0007","AQS","31",".","."
"05/07/2009","44","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","44","13","."
"05/08/2009","46","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","46",".","."
"05/09/2009","49","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","49",".","."
"05/10/2009","64","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","64","14","."
"05/11/2009","71","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","71",".","."
"05/12/2009","80","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","80",".","."
"05/13/2009","61","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","61","17","."
"05/14/2009","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41",".","."
"05/15/2009","45","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","45",".","."
"05/16/2009","67","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","67","19","."
"05/17/2009","77","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","77",".","."
"05/18/2009","119","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","119",".","."
"05/19/2009","54","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","54","22","."
"05/20/2009","100","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","100",".","."
"05/21/2009","97","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","97",".","."
"05/22/2009","108","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","108","21","."
"05/23/2009","100","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","100",".","."
"05/24/2009","93","Ozone","White Cloud","06-057-0007","AQS","93",".","."
"05/25/2009","64","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","64","35","."
"05/26/2009","108","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","108",".","."
"05/27/2009","154","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","154",".","."
"05/28/2009","119","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","119","16","."
"05/29/2009","105","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","105",".","."
"05/30/2009","58","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","58",".","."
"05/31/2009","64","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","64","33","."
"06/01/2009","50","Ozone","White Cloud","06-057-0007","AQS","50",".","."
"06/02/2009","41","Ozone","White Cloud","06-057-0007","AQS","41",".","."
