"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"03/05/2018","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44",".","13","10"
"03/06/2018","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44",".","14","14"
"03/07/2018","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40",".","21","10"
"03/08/2018","42","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","42",".","19","13"
"03/09/2018","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","43",".","15","21"
"03/10/2018","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40",".","14","15"
"03/11/2018","36","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","36",".","7","12"
"03/12/2018","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","40",".","8","13"
"03/13/2018","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40",".","25","12"
"03/14/2018","53","PM10","Shell Cut","06-027-0025","AQS","1","44",".","53","8"
"03/15/2018","46","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","46",".","10","17"
"03/16/2018","63","PM10","Shell Cut","06-027-0025","AQS","1","45",".","63","13"
"03/17/2018","45","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","45",".","6","5"
"03/18/2018","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44",".","9","8"
"03/19/2018","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44",".","10","8"
"03/20/2018","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","47",".","14","10"
"03/21/2018","46","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","46",".","14","14"
"03/22/2018","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","41",".","14","5"
"03/23/2018","46","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","46",".","8","12"
"03/24/2018","51","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","51",".","14","14"
"03/25/2018","51","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","51",".","11","17"
"03/26/2018","46","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","46",".","36","29"
"03/27/2018","105","PM10","Olancha","06-027-0021","AQS","1","43",".","105","54"
"03/28/2018","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","41",".","8","6"
"03/29/2018","45","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","45",".","10","11"
"03/30/2018","47","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","47",".","16","16"
"03/31/2018","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","71",".","16","29"
"04/01/2018","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","74",".","13","21"
"04/02/2018","61","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","61",".","23","24"
"04/03/2018","50","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","50",".","28","24"
"04/04/2018","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","54",".","25","27"
"04/05/2018","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","51",".","18","25"
"04/06/2018","48","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","48",".","16","15"
"04/07/2018","50","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","50",".","36","36"
"04/08/2018","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","54",".","20","30"
"04/09/2018","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","51",".","38","28"
"04/10/2018","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","77",".","26","25"
"04/11/2018","121","PM10","North Beach","06-027-0029","AQS","1","64",".","121","31"
"04/12/2018","74","PM10","North Beach","06-027-0029","AQS","1","71",".","74","51"
"04/13/2018","50","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","50",".","18","23"
"04/14/2018","49","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","49",".","33","38"
"04/15/2018","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","64",".","56","46"
"04/16/2018","165","PM10","Lone Pine Paiute-Shoshone Reservation","06-027-1018","AQS","1","77",".","165","39"
"04/17/2018","48","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","48",".","8","10"
"04/18/2018","108","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","108",".","40","15"
"04/19/2018","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","71",".","59","58"
"04/20/2018","67","PM2.5","Keeler","06-027-1003","AQS","1","48",".","59","67"
"04/21/2018","61","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","61","0","14","21"
"04/22/2018","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","58","0","18","18"
"04/23/2018","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","58","0","18","33"
"04/24/2018","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","77","0","24","28"
"04/25/2018","97","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","97","0","26","35"
"04/26/2018","101","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","101","0","26","30"
"04/27/2018","100","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","100","0","32","35"
"04/28/2018","77","Ozone","Death Valley NP - Park Village","06-027-0101","AirNow","1","77","0","20","32"
"04/29/2018","70","PM2.5","Keeler","06-027-1003","AQS","1","61","0","54","70"
"04/30/2018","30","PM10","Olancha","06-027-0021","AQS","1","18",".","30","25"
"05/01/2018","42","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","42",".","7","14"
"05/02/2018","49","Ozone","Death Valley NP - Park Village","06-027-0101","AirNow","1","49","0","11","14"
"05/03/2018","49","Ozone","Death Valley NP - Park Village","06-027-0101","AirNow","1","49","0","13","15"
"05/04/2018","51","Ozone","Death Valley NP - Park Village","06-027-0101","AirNow","1","51","0","17","17"
"05/05/2018","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","77","0","21","25"
"05/06/2018","112","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","112","0","24","20"
"05/07/2018","101","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","101","0","27","22"
"05/08/2018","84","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","84","0","20","33"
"05/09/2018","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","74","0","19","15"
"05/10/2018","71","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","71",".","19","26"
"05/11/2018","624","PM10","Keeler","06-027-1003","AQS","1","67","0","624","206"
"05/12/2018","58","PM2.5","Keeler","06-027-1003","AQS","1","58","0","54","58"
"05/13/2018","50","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","50","0","17","19"
"05/14/2018","58","Ozone","Death Valley NP - Park Village","06-027-0101","AirNow","1","58",".","12","21"
"05/15/2018","97","Ozone","Death Valley NP - Park Village","06-027-0101","AirNow","1","97","0","18","23"
"05/16/2018","100","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","100","0","53","34"
"05/17/2018","108","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","108","0","21","38"
"05/18/2018","61","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","61","0","17","22"
"05/19/2018","87","Ozone","Death Valley NP - Park Village","06-027-0101","AirNow","1","87","0","19","26"
"05/20/2018","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","77","0","23","30"
"05/21/2018","67","Ozone","Death Valley NP - Park Village","06-027-0101","AirNow","1","67","0","23","36"
"05/22/2018","71","Ozone","Death Valley NP - Park Village","06-027-0101","AirNow","1","71","0","15","23"
"05/23/2018","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","77","0","23","25"
"05/24/2018","87","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","87","0","24","30"
"05/25/2018","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","64","0","45","28"
"05/26/2018","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","47","0","21","21"
"05/27/2018","49","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","49","0","19","11"
"05/28/2018","64","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","64","0","13","16"
"05/29/2018","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","67","0","17","25"
"05/30/2018","71","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","71","0","25","32"
"05/31/2018","67","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","67","0","43","32"
"06/01/2018","71","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","71","0","22","26"
"06/02/2018","61","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","61","0","24","22"
"06/03/2018","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","74","0","21","29"
"06/04/2018","90","Ozone","Death Valley NP - Park Village","06-027-0101","AirNow","1","90","0","33","33"
"06/05/2018","84","Ozone","Death Valley NP - Park Village","06-027-0101","AirNow","1","84","0","29","39"
"06/06/2018","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","71","0","28","28"
"06/07/2018","101","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","101","0","27","37"
"06/08/2018","101","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","101","0","29","48"
"06/09/2018","84","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","84","0","55","52"
"06/10/2018","61","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","61","0","29","34"
"06/11/2018","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","54","0","27","28"
"06/12/2018","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","51","0","36","30"
"06/13/2018","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","74","0","42","38"
"06/14/2018","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","74","0","28","27"
"06/15/2018","48","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","48","0","29","22"
"06/16/2018","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","74","0","60","23"
"06/17/2018","80","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","80","0","31","30"
"06/18/2018","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","64","0","19","25"
"06/19/2018","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","64","0","22","22"
"06/20/2018","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","54","0","20","20"
"06/21/2018","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","67","0","24","14"
"06/22/2018","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","80","0","21","19"
"06/23/2018","122","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","122","0","26","24"
"06/24/2018","105","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","105","0","29","47"
"06/25/2018","122","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","8","119","0","61","122"
"06/26/2018","122","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","6","122","0","57","83"
"06/27/2018","126","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","126","0","44","52"
"06/28/2018","87","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","87","0","24","28"
"06/29/2018","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","77","0","25","33"
"06/30/2018","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","51","0","21","19"
"07/01/2018","61","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","61","0","24","30"
"07/02/2018","97","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","97","0","34","42"
"07/03/2018","101","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","101","0","41","59"
"07/04/2018","97","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","97","0","51","55"
"07/05/2018","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","58","0","25","30"
"07/06/2018","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","51","0","21","30"
"07/07/2018","50","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","50","0","33","41"
"07/08/2018","87","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","87","0","38","58"
"07/09/2018","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","80","0","31","46"
"07/10/2018","77","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","77","0","67","58"
"07/11/2018","90","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","90","0","37","38"
"07/12/2018","100","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","100","0","33","33"
"07/13/2018","101","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","101","0","14","30"
"07/14/2018","100","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","100","0","19","37"
"07/15/2018","97","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","97","0","25","37"
"07/16/2018","101","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","101","0","25","46"
"07/17/2018","115","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","115","0","26","52"
"07/18/2018","100","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","100","0","38","61"
"07/19/2018","87","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","87","0","28","46"
"07/20/2018","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","51","0","35","48"
"07/21/2018","54","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","54","0","21","42"
"07/22/2018","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","58","0","23","36"
"07/23/2018","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","74","0","17","28"
"07/24/2018","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","64","0","23","38"
"07/25/2018","71","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","71","0","31","61"
"07/26/2018","77","Ozone","Death Valley NP - Park Village","06-027-0101","AirNow","2","77","0","26","53"
"07/27/2018","87","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","87","0","44","79"
"07/28/2018","156","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","5","126","0","74","156"
"07/29/2018","155","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","7","93","0","73","155"
"07/30/2018","130","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","6","90","0","64","130"
"07/31/2018","89","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","3","87","0","52","89"
"08/01/2018","84","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","84","0","38","74"
"08/02/2018","162","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","7","97","0","79","162"
"08/03/2018","297","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","14","105","0","200","297"
"08/04/2018","197","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","15","87","0","128","197"
"08/05/2018","122","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","3","122","0","47","97"
"08/06/2018","170","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","7","93","0","90","170"
"08/07/2018","129","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","3","129","0","57","112"
"08/08/2018","136","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","5","136","0","51","91"
"08/09/2018","105","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","3","105","0","50","85"
"08/10/2018","126","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","126","0","44","72"
"08/11/2018","108","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","108","0","49","78"
"08/12/2018","97","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","3","97","0","56","76"
"08/13/2018","87","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","87","0","38","66"
"08/14/2018","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","71","0","25","43"
"08/15/2018","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","67","0","25","33"
"08/16/2018","61","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","61","0","31","47"
"08/17/2018","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","71","0","40","57"
"08/18/2018","80","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","3","74","0","51","80"
"08/19/2018","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","3","74","0","28","46"
"08/20/2018","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","80","0","24","30"
"08/21/2018","57","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","50","0","33","57"
"08/22/2018","60","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","47","0","35","60"
"08/23/2018","61","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","54","0","37","61"
"08/24/2018","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","74","0","28","38"
"08/25/2018","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","71","0","28","51"
"08/26/2018","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","80","0","30","52"
"08/27/2018","87","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","87","0","24","43"
"08/28/2018","59","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","51","0","35","59"
"08/29/2018","55","PM10","Lone Pine Paiute-Shoshone Reservation","06-027-1018","AQS","1","45","0","55","32"
"08/30/2018","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","51","0","26","21"
"08/31/2018","58","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","58","0","23","22"
"09/01/2018","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","67","0","27","41"
"09/02/2018","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","54","0","25","36"
"09/03/2018","48","PM10","Fort Independence Indian Community","06-027-1028","AQS","1","45","0","48","37"
"09/04/2018","46","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","46","0","36","32"
"09/05/2018","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","43","0","18","25"
"09/06/2018","42","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","42","0","27","36"
"09/07/2018","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","41","0","25","25"
"09/08/2018","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","54","0","19","22"
"09/09/2018","42","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","42","0","17","15"
"09/10/2018","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","64","0","21","23"
"09/11/2018","90","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","90","0","26","24"
"09/12/2018","49","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","49","0","16","12"
"09/13/2018","51","PM10","Lone Pine Paiute-Shoshone Reservation","06-027-1018","AQS","1","43","0","51","9"
"09/14/2018","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","41","0","21","9"
"09/15/2018","74","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","74","0","22","12"
"09/16/2018","54","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","54","0","20","15"
"09/17/2018","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","74","0","23","15"
"09/18/2018","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","64","0","22","15"
"09/19/2018","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","77","0","23","13"
"09/20/2018","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","80","0","26","20"
"09/21/2018","67","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","67","0","32","21"
