"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"08/19/2017","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","47","0","39","33"
"08/20/2017","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","51","0","29","35"
"08/21/2017","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","44","0","27","23"
"08/22/2017","43","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","43","0","22","16"
"08/23/2017","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","44","0","28","21"
"08/24/2017","48","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","48","0","30","38"
"08/25/2017","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","39","0","31","20"
"08/26/2017","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44","0","28","21"
"08/27/2017","47","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","47","0","32","24"
"08/28/2017","48","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","48","0","32","28"
"08/29/2017","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","54","0","49","40"
"08/30/2017","71","PM2.5","Keeler","06-027-1003","AQS","2","49","0","55","71"
"08/31/2017","100","PM10","North Beach","06-027-0029","AQS","2","61","0","100","64"
"09/01/2017","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","80","0","19","38"
"09/02/2017","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","54","0","23","33"
"09/03/2017","55","PM10","Shell Cut","06-027-0025","AQS","2","46","0","55","50"
"09/04/2017","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40","0","21","29"
"09/05/2017","42","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","42","0","31","26"
"09/06/2017","49","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","49","0","26","29"
"09/07/2017","45","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","45","0","20","28"
"09/08/2017","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","47","0","30","44"
"09/09/2017","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","47","0","23","34"
"09/10/2017","48","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","48","0","15","16"
"09/11/2017","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","44","0","19","19"
"09/12/2017","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","44","0","9","19"
"09/13/2017","49","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","49","0","11","14"
"09/14/2017","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","58","0","19","25"
"09/15/2017","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","44","0","17","30"
"09/16/2017","52","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","51","0","21","52"
"09/17/2017","49","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","49","0","26","39"
"09/18/2017","87","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","87","0","41","57"
"09/19/2017","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","43","0","29","38"
"09/20/2017","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37","0","22","23"
"09/21/2017","138","PM10","Shell Cut","06-027-0025","AQS","1","42",".","138","67"
"09/22/2017","39","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","39",".","10","10"
"09/23/2017","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","41",".","9","15"
"09/24/2017","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","41",".","11","12"
"09/25/2017","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","43",".","13","15"
"09/26/2017","42","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","42",".","13","13"
"09/27/2017","45","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","45",".","19","13"
"09/28/2017","46","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","46",".","19","14"
"09/29/2017","49","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","49",".","28","29"
"09/30/2017","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","67",".","19","36"
"10/01/2017","59","PM2.5","Keeler","06-027-1003","AQS","1","49",".","57","59"
"10/02/2017","56","PM10","Olancha","06-027-0021","AQS","1","40",".","56","28"
"10/03/2017","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","67",".","65","40"
